cn,pr,pf,link,inst,plink,rating,tags
Master of Science in Cybersecurity Management,0,Coursera,https://www.coursera.org/degrees/master-of-science-in-cybersecurity-management-utah,University of Utah,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera_assets/ddp/branding/master-of-science-in-cybersecurity-management-utah/2ec55aeb-a86b-4102-8b96-a07c10a50aec.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,0,Cyber Security
Blockchain 360: A State of the Art for Professionals,0,Coursera,https://www.coursera.org/learn/blockchain-professionals,EIT Digital,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/3e/672a03309942fb826395cca14401d0/blockchain-1.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=265&h=216,4.5,Blockchain Technology
NodeJS - The Complete Guide,3399,Udemy,https://www.udemy.com/course/nodejs-the-complete-guide/,Academind by Maximilian Schwarzmüller Maximilian Schwarzmüller,https://img-c.udemycdn.com/course/240x135/1879018_95b6_3.jpg,4.6,Development
Arduino Programming and Hardware Fundamentals,3199,Udemy,https://www.udemy.com/course/arduino-programming-and-hardware-fundamentals-with-hackster/,Shawn Hymel ~ Hackster.io ~,https://img-c.udemycdn.com/course/240x135/1067344_2fe5_3.jpg,4.6,IoT
Computer Network: IT Networking Fundamentals,1699,Udemy,https://www.udemy.com/course/new-2016-networking-fundamentals-for-beginners/,Melbourne Gregory,https://img-c.udemycdn.com/course/240x135/702798_b2da_2.jpg,4.4,Computer Network
Selenium 4 WebDriver with Java(Basics,0,Udemy,https://www.udemy.com/course/selenium-training/,Rahul Arora,https://img-b.udemycdn.com/course/240x135/53670_9ee2_8.jpg,4.4,OOPS
NOC:Object-Oriented Analysis And Design,0,NPTEL,https://nptel.ac.in/courses/106105153,Prof. Partha Pratim Das,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
PythonforCybersecurity,0,Coursera,https://www.coursera.org/specializations/pythonforcybersecurity,Infosec,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/db/69857216fa4adc91484d95d473cae9/Coursera_Python_for_CS_600x600.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=265&h=216,4.5,Cyber Security
NOC:Privacy And Security In Online Social Media,0,NPTEL,https://nptel.ac.in/courses/106106146,Prof. Ponnurangam Kumaraguru,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Mastering Group Policy on Windows,3099,Udemy,https://www.udemy.com/course/mastering-group-policy-on-windows-server-2016/,Kevin Brown,https://img-c.udemycdn.com/course/240x135/1363096_802b_2.jpg,4.6,Operating System
Operating Systems Fundamentals,0,Coursera,https://www.coursera.org/learn/akamai-operating-systems,Akamai Technologies,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/34/2e8b7248ec4e668995e8e2744f05fb/GettyImages-1331215115---Op-Systems-800x800.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,0,Operating System
Google IT Support,0,Coursera,https://www.coursera.org/professional-certificates/google-it-support,Google,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/14/b2d530f1ad11e7ab380fc0c6c817a8/Search-Thumbnail.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=330&h=330,4.8,Computer Network
Master Microservices with Spring Boot,0,Udemy,https://www.udemy.com/course/microservices-with-spring-boot-and-spring-cloud/,in28Minutes Official,https://img-c.udemycdn.com/course/240x135/1352468_3d97_8.jpg,4.6,Development
Data Structures & Algorithms in JavaScript - Self Paced,3999,GeeksforGeeks,https://practice.geeksforgeeks.org/courses/data-structures-and-algorithms-in-javascript,Sandeep Jain,https://media.geeksforgeeks.org/img-practice/banner/data-structures-and-algorithms-in-javascript-thumbnail.png?v=19543,0,Data Structure and Algorithm
Modern Robotics Course 1: Foundations of Robot Motion,0,Coursera,https://www.coursera.org/learn/modernrobotics-course1,Northwestern University,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/af/d18910e5ac11e7924259ba0bb600df/Coursera_Logo2.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.7,Robotics
